id,name,category,total_score,similarity_score,skill_match_score,matched_required,missing_required,matched_nice,missing_nice,job_terms_overlap
62994611,Candidate 62994611,AGRICULTURE,0.1508,0.0364,0.3225,"python, sql, scikit-learn","nlp, aws, etl, spacy, ml pipelines",tensorflow,"docker, airflow, pytorch, mlflow",
11813872,Candidate 11813872,AGRICULTURE,0.1495,0.0158,0.35,"python, sql, aws, etl","nlp, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18067556,Candidate 18067556,INFORMATION-TECHNOLOGY,0.1454,0.009,0.35,"python, sql, aws, etl","nlp, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21297521,Candidate 21297521,BANKING,0.1423,0.0221,0.3225,"nlp, sql, aws","python, etl, scikit-learn, spacy, ml pipelines",docker,"airflow, tensorflow, pytorch, mlflow",nlp
12144825,Candidate 12144825,AVIATION,0.1385,0.0159,0.3225,"nlp, python, sql","aws, etl, scikit-learn, spacy, ml pipelines",docker,"airflow, tensorflow, pytorch, mlflow",
50328713,Candidate 50328713,ENGINEERING,0.1374,0.014,0.3225,"python, sql, scikit-learn","nlp, aws, etl, spacy, ml pipelines",tensorflow,"docker, airflow, pytorch, mlflow",
10624813,Candidate 10624813,ENGINEERING,0.1141,0.0151,0.2625,"python, sql, aws","nlp, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
22488036,Candidate 22488036,FITNESS,0.1129,0.0132,0.2625,"python, sql, etl","nlp, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
42156237,Candidate 42156237,DIGITAL-MEDIA,0.1119,0.0114,0.2625,"python, sql, etl","nlp, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12011623,Candidate 12011623,ENGINEERING,0.0865,0.0276,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20824105,Candidate 20824105,INFORMATION-TECHNOLOGY,0.0855,0.0258,0.175,"python, aws","nlp, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18448085,Candidate 18448085,AUTOMOBILE,0.0849,0.0248,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
83816738,Candidate 83816738,INFORMATION-TECHNOLOGY,0.0845,0.0242,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
34953092,Candidate 34953092,BANKING,0.0833,0.0222,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
22946204,Candidate 22946204,AUTOMOBILE,0.0829,0.0215,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
30863060,Candidate 30863060,CONSULTANT,0.0826,0.021,0.175,"sql, etl","nlp, python, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29051656,Candidate 29051656,INFORMATION-TECHNOLOGY,0.081,0.0183,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21156767,Candidate 21156767,CONSULTANT,0.0807,0.0179,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
32985311,Candidate 32985311,ENGINEERING,0.0797,0.0162,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
26291616,Candidate 26291616,CONSULTANT,0.0781,0.0135,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
51588273,Candidate 51588273,ENGINEERING,0.0781,0.0135,0.175,"sql, etl","nlp, python, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12415691,Candidate 12415691,DESIGNER,0.0779,0.0132,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
27152464,Candidate 27152464,ENGINEERING,0.0779,0.0131,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
14871762,Candidate 14871762,BUSINESS-DEVELOPMENT,0.0774,0.0123,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
44115326,Candidate 44115326,ADVOCATE,0.0769,0.0115,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
22232367,Candidate 22232367,AVIATION,0.076,0.01,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
82246962,Candidate 82246962,ENGINEERING,0.0759,0.0099,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
11005406,Candidate 11005406,DIGITAL-MEDIA,0.0758,0.0097,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
95429627,Candidate 95429627,CONSULTANT,0.0756,0.0093,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
10265057,Candidate 10265057,INFORMATION-TECHNOLOGY,0.0755,0.0091,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
23464505,Candidate 23464505,AVIATION,0.0754,0.009,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
39441617,Candidate 39441617,CONSULTANT,0.075,0.0083,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21366189,Candidate 21366189,CONSULTANT,0.0749,0.0082,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20674668,Candidate 20674668,INFORMATION-TECHNOLOGY,0.0748,0.008,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
93349646,Candidate 93349646,CONSULTANT,0.0747,0.0079,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
91189201,Candidate 91189201,CONSULTANT,0.0745,0.0075,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
33381211,Candidate 33381211,INFORMATION-TECHNOLOGY,0.074,0.0066,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20566550,Candidate 20566550,ENGINEERING,0.0739,0.0065,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
41344156,Candidate 41344156,INFORMATION-TECHNOLOGY,0.0739,0.0064,0.175,"sql, etl","nlp, python, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
25397102,Candidate 25397102,BUSINESS-DEVELOPMENT,0.0738,0.0063,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13405733,Candidate 13405733,INFORMATION-TECHNOLOGY,0.0738,0.0063,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
28505854,Candidate 28505854,ENGINEERING,0.0733,0.0239,0.1475,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",tensorflow,"docker, airflow, pytorch, mlflow",
28790806,Candidate 28790806,AUTOMOBILE,0.0729,0.0048,0.175,"sql, etl","nlp, python, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
32959732,Candidate 32959732,INFORMATION-TECHNOLOGY,0.0723,0.0039,0.175,"sql, aws","nlp, python, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
15083600,Candidate 15083600,CONSULTANT,0.0718,0.003,0.175,"python, sql","nlp, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29075857,Candidate 29075857,INFORMATION-TECHNOLOGY,0.0714,0.0023,0.175,"sql, etl","nlp, python, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18297650,Candidate 18297650,HR,0.0493,0.0239,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
57706851,Candidate 57706851,BPO,0.0482,0.0219,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
85417107,Candidate 85417107,HEALTHCARE,0.048,0.0217,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
39247950,Candidate 39247950,BANKING,0.0467,0.0196,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
28126340,Candidate 28126340,INFORMATION-TECHNOLOGY,0.0451,0.0168,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
43311839,Candidate 43311839,CONSULTANT,0.0448,0.0163,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
99680385,Candidate 99680385,AUTOMOBILE,0.0442,0.0153,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
17864043,Candidate 17864043,HEALTHCARE,0.0441,0.0152,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12546838,Candidate 12546838,BUSINESS-DEVELOPMENT,0.044,0.0149,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13385306,Candidate 13385306,INFORMATION-TECHNOLOGY,0.0439,0.0148,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13964744,Candidate 13964744,BPO,0.0435,0.0141,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
24643412,Candidate 24643412,CONSULTANT,0.0433,0.0138,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
55953734,Candidate 55953734,ENGINEERING,0.0431,0.0135,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
36434348,Candidate 36434348,INFORMATION-TECHNOLOGY,0.043,0.0133,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
17823436,Candidate 17823436,BANKING,0.0426,0.0126,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
30223363,Candidate 30223363,INFORMATION-TECHNOLOGY,0.0425,0.0124,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13586069,Candidate 13586069,CONSULTANT,0.0424,0.0124,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29196643,Candidate 29196643,CONSULTANT,0.0423,0.0121,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
51432451,Candidate 51432451,CONSULTANT,0.0423,0.0121,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13836471,Candidate 13836471,INFORMATION-TECHNOLOGY,0.0421,0.0119,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
71422121,Candidate 71422121,BANKING,0.042,0.0117,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
98348532,Candidate 98348532,BANKING,0.0419,0.0115,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
16877897,Candidate 16877897,HR,0.0419,0.0116,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
35990852,Candidate 35990852,DESIGNER,0.0418,0.0113,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21038022,Candidate 21038022,ENGINEERING,0.0418,0.0114,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
85101052,Candidate 85101052,DESIGNER,0.0415,0.0108,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12763627,Candidate 12763627,INFORMATION-TECHNOLOGY,0.0415,0.0108,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18187364,Candidate 18187364,INFORMATION-TECHNOLOGY,0.0415,0.0108,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29975124,Candidate 29975124,INFORMATION-TECHNOLOGY,0.0414,0.0107,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
16186411,Candidate 16186411,INFORMATION-TECHNOLOGY,0.0411,0.0101,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
41152404,Candidate 41152404,BPO,0.0411,0.0101,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
31694970,Candidate 31694970,ENGINEERING,0.0407,0.0095,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
24610685,Candidate 24610685,SALES,0.0406,0.0093,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12374933,Candidate 12374933,CONSULTANT,0.0404,0.0089,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
99124477,Candidate 99124477,BANKING,0.0404,0.009,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
26746496,Candidate 26746496,INFORMATION-TECHNOLOGY,0.0403,0.0088,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
27536013,Candidate 27536013,INFORMATION-TECHNOLOGY,0.0402,0.0087,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29647215,Candidate 29647215,CONSULTANT,0.0402,0.0086,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
22890839,Candidate 22890839,ENGINEERING,0.0402,0.0087,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
45475027,Candidate 45475027,CONSTRUCTION,0.0401,0.0084,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
14593060,Candidate 14593060,CONSULTANT,0.04,0.0083,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
26456899,Candidate 26456899,ENGINEERING,0.0398,0.008,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
19396040,Candidate 19396040,ENGINEERING,0.0398,0.008,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
39776400,Candidate 39776400,DESIGNER,0.0398,0.008,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18133495,Candidate 18133495,PUBLIC-RELATIONS,0.0396,0.0077,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29839396,Candidate 29839396,BANKING,0.0396,0.0076,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
10041713,Candidate 10041713,CONSTRUCTION,0.0396,0.0076,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
24668861,Candidate 24668861,AVIATION,0.0396,0.0076,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
79541391,Candidate 79541391,INFORMATION-TECHNOLOGY,0.0395,0.0074,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
90867631,Candidate 90867631,INFORMATION-TECHNOLOGY,0.0395,0.0075,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21567392,Candidate 21567392,CONSTRUCTION,0.0394,0.0073,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20850529,Candidate 20850529,BANKING,0.0394,0.0074,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
28803888,Candidate 28803888,CONSTRUCTION,0.0393,0.0071,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
11963737,Candidate 11963737,ADVOCATE,0.0392,0.0069,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
22259768,Candidate 22259768,CONSULTANT,0.0391,0.0068,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
32042584,Candidate 32042584,BUSINESS-DEVELOPMENT,0.0391,0.0068,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
81011612,Candidate 81011612,DESIGNER,0.039,0.0067,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
25959103,Candidate 25959103,INFORMATION-TECHNOLOGY,0.039,0.0066,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
17132168,Candidate 17132168,DIGITAL-MEDIA,0.039,0.0067,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
